element,f_bus,t_bus
4ef788b6-83ad-497e-ab01-42f14ea6de31,9c24cb45-a43c-48ee-baca-fdef0dc71cd6,accd5dda-1ffe-4805-9720-20476c415b58
4bcf8826-690d-4290-b233-4275e088172a,da89ab2e-80d4-4fce-9142-88082bd0d92a,d1820eb7-e97a-4ba5-a1a5-372ce564f23f
155f5f11-30c0-4af0-872b-821118bd2246,fc9ae8c0-7433-4354-abda-e98e158b93da,055c88b9-4954-494c-9095-dde023a18b3b
f1618c85-ccc9-4639-b7e0-1c7a413dcced,3d22dbca-283e-42d9-a318-ef4e450a7495,faf17826-3b18-4f15-89b2-06e2ba4ea621
1a504213-4345-4451-ac36-f19a35d52816,6de7f3a3-ac70-43df-9efd-e1c784d2b385,a608f365-e80f-4ed3-8b30-3ff4f828a343
6782ffce-71a5-4946-99cf-318561ae6c1a,99a315a4-1c07-41bb-abf6-925a9e75899c,a4df40e1-c7da-444a-ba99-4d38823b52d0
7c33d6d8-0e65-4e22-99da-470320f18124,3d22dbca-283e-42d9-a318-ef4e450a7495,ee652bcd-3357-4b57-b22c-ec805cf04792
8e06b444-b9cb-442c-b835-59a67727bc9b,3d22dbca-283e-42d9-a318-ef4e450a7495,99b51e29-7029-4bfd-a3e4-1cf876edf8af
669b11ea-92d1-4c4a-a83c-6270a0728312,ed1ad337-e28f-4cbf-9ff7-cdfee0a85a7a,63c1c5d3-9f3e-4178-a1fc-817a485f605e
15943fbf-d8a5-4fe1-8c73-efe766dbf2a8,98e22f79-fb1d-4437-b607-74d7d5176438,2b1f5030-3364-4df8-a9da-7aafce779110
d0489967-ee7b-4cf4-85d4-d8c03fd14bf0,d08afec7-0578-4dc5-8e7a-0a2c1b8d5ad2,2e4c9f36-7773-46ce-b9d0-ed1b9f289281
57930cfe-1c94-4eb0-9ec5-744cc47286b5,b49fae4f-b286-4eb8-8dda-70ab029c7ca5,538a2565-6fe9-4e61-9ef7-ed6f544effbc
696dcb48-6939-49b1-bcec-f5f663499367,42806b05-d840-4475-896d-e8c1b1148e88,11d9cd71-0678-475b-b730-93bec94354ac
d8c18e06-cc18-45fa-a49f-f84ba473a865,456568aa-1450-4e42-bed0-5c1b408a2e83,06c66766-dd43-485a-b6a6-25817bf6bbea
