;sourceId;referenceTime;elementId;value;unit;timeOffset
176;SN12680:0;2015-06-26 00:00:00+00:00;mean(air_temperature P1D);12,9;degC;PT0H
177;SN12680:0;2015-06-27 00:00:00+00:00;mean(air_temperature P1D);15,8;degC;PT0H
178;SN12680:0;2015-06-28 00:00:00+00:00;mean(air_temperature P1D);16,8;degC;PT0H
179;SN12680:0;2015-06-29 00:00:00+00:00;mean(air_temperature P1D);15,6;degC;PT0H
180;SN12680:0;2015-06-30 00:00:00+00:00;mean(air_temperature P1D);16,8;degC;PT0H
181;SN12680:0;2015-07-01 00:00:00+00:00;mean(air_temperature P1D);20,9;degC;PT0H
182;SN12680:0;2015-07-02 00:00:00+00:00;mean(air_temperature P1D);21,2;degC;PT0H
183;SN12680:0;2015-07-03 00:00:00+00:00;mean(air_temperature P1D);19,9;degC;PT0H
184;SN12680:0;2015-07-04 00:00:00+00:00;mean(air_temperature P1D);21,2;degC;PT0H
185;SN12680:0;2015-07-05 00:00:00+00:00;mean(air_temperature P1D);21,8;degC;PT0H
186;SN12680:0;2015-07-06 00:00:00+00:00;mean(air_temperature P1D);15,6;degC;PT0H
187;SN12680:0;2015-07-07 00:00:00+00:00;mean(air_temperature P1D);14,7;degC;PT0H
188;SN12680:0;2015-07-08 00:00:00+00:00;mean(air_temperature P1D);11,7;degC;PT0H
189;SN12680:0;2015-07-09 00:00:00+00:00;mean(air_temperature P1D);12,7;degC;PT0H
190;SN12680:0;2015-07-10 00:00:00+00:00;mean(air_temperature P1D);13,0;degC;PT0H
191;SN12680:0;2015-07-11 00:00:00+00:00;mean(air_temperature P1D);14,5;degC;PT0H
192;SN12680:0;2015-07-12 00:00:00+00:00;mean(air_temperature P1D);15,9;degC;PT0H
193;SN12680:0;2015-07-13 00:00:00+00:00;mean(air_temperature P1D);15,7;degC;PT0H
194;SN12680:0;2015-07-14 00:00:00+00:00;mean(air_temperature P1D);13,9;degC;PT0H
195;SN12680:0;2015-07-15 00:00:00+00:00;mean(air_temperature P1D);13,6;degC;PT0H
196;SN12680:0;2015-07-16 00:00:00+00:00;mean(air_temperature P1D);11,3;degC;PT0H
197;SN12680:0;2015-07-17 00:00:00+00:00;mean(air_temperature P1D);13,3;degC;PT0H
198;SN12680:0;2015-07-18 00:00:00+00:00;mean(air_temperature P1D);13,2;degC;PT0H
199;SN12680:0;2015-07-19 00:00:00+00:00;mean(air_temperature P1D);15,5;degC;PT0H
200;SN12680:0;2015-07-20 00:00:00+00:00;mean(air_temperature P1D);15,8;degC;PT0H
201;SN12680:0;2015-07-21 00:00:00+00:00;mean(air_temperature P1D);12,0;degC;PT0H
202;SN12680:0;2015-07-22 00:00:00+00:00;mean(air_temperature P1D);15,2;degC;PT0H
203;SN12680:0;2015-07-23 00:00:00+00:00;mean(air_temperature P1D);13,1;degC;PT0H
204;SN12680:0;2015-07-24 00:00:00+00:00;mean(air_temperature P1D);12,5;degC;PT0H
205;SN12680:0;2015-07-25 00:00:00+00:00;mean(air_temperature P1D);12,4;degC;PT0H
206;SN12680:0;2015-07-26 00:00:00+00:00;mean(air_temperature P1D);10,8;degC;PT0H
207;SN12680:0;2015-07-27 00:00:00+00:00;mean(air_temperature P1D);13,4;degC;PT0H
208;SN12680:0;2015-07-28 00:00:00+00:00;mean(air_temperature P1D);12,9;degC;PT0H
209;SN12680:0;2015-07-29 00:00:00+00:00;mean(air_temperature P1D);13,5;degC;PT0H
210;SN12680:0;2015-07-30 00:00:00+00:00;mean(air_temperature P1D);15,2;degC;PT0H
211;SN12680:0;2015-07-31 00:00:00+00:00;mean(air_temperature P1D);12,8;degC;PT0H
212;SN12680:0;2015-08-01 00:00:00+00:00;mean(air_temperature P1D);12,8;degC;PT0H
213;SN12680:0;2015-08-02 00:00:00+00:00;mean(air_temperature P1D);12,1;degC;PT0H
214;SN12680:0;2015-08-03 00:00:00+00:00;mean(air_temperature P1D);11,3;degC;PT0H
215;SN12680:0;2015-08-04 00:00:00+00:00;mean(air_temperature P1D);11,1;degC;PT0H
216;SN12680:0;2015-08-05 00:00:00+00:00;mean(air_temperature P1D);14,6;degC;PT0H
217;SN12680:0;2015-08-06 00:00:00+00:00;mean(air_temperature P1D);15,7;degC;PT0H
218;SN12680:0;2015-08-07 00:00:00+00:00;mean(air_temperature P1D);15,9;degC;PT0H
219;SN12680:0;2015-08-08 00:00:00+00:00;mean(air_temperature P1D);16,1;degC;PT0H
220;SN12680:0;2015-08-09 00:00:00+00:00;mean(air_temperature P1D);14,1;degC;PT0H
221;SN12680:0;2015-08-10 00:00:00+00:00;mean(air_temperature P1D);15,5;degC;PT0H
222;SN12680:0;2015-08-11 00:00:00+00:00;mean(air_temperature P1D);15,1;degC;PT0H
223;SN12680:0;2015-08-12 00:00:00+00:00;mean(air_temperature P1D);13,5;degC;PT0H
224;SN12680:0;2015-08-13 00:00:00+00:00;mean(air_temperature P1D);14,1;degC;PT0H
225;SN12680:0;2015-08-14 00:00:00+00:00;mean(air_temperature P1D);15,3;degC;PT0H
226;SN12680:0;2015-08-15 00:00:00+00:00;mean(air_temperature P1D);15,4;degC;PT0H
227;SN12680:0;2015-08-16 00:00:00+00:00;mean(air_temperature P1D);15,4;degC;PT0H
228;SN12680:0;2015-08-17 00:00:00+00:00;mean(air_temperature P1D);15,7;degC;PT0H
229;SN12680:0;2015-08-18 00:00:00+00:00;mean(air_temperature P1D);13,9;degC;PT0H
230;SN12680:0;2015-08-19 00:00:00+00:00;mean(air_temperature P1D);14,9;degC;PT0H
231;SN12680:0;2015-08-20 00:00:00+00:00;mean(air_temperature P1D);15,2;degC;PT0H
232;SN12680:0;2015-08-21 00:00:00+00:00;mean(air_temperature P1D);15,2;degC;PT0H
233;SN12680:0;2015-08-22 00:00:00+00:00;mean(air_temperature P1D);15,0;degC;PT0H
234;SN12680:0;2015-08-23 00:00:00+00:00;mean(air_temperature P1D);15,6;degC;PT0H
235;SN12680:0;2015-08-24 00:00:00+00:00;mean(air_temperature P1D);14,8;degC;PT0H
236;SN12680:0;2015-08-25 00:00:00+00:00;mean(air_temperature P1D);15,2;degC;PT0H
237;SN12680:0;2015-08-26 00:00:00+00:00;mean(air_temperature P1D);15,6;degC;PT0H
238;SN12680:0;2015-08-27 00:00:00+00:00;mean(air_temperature P1D);14,4;degC;PT0H
239;SN12680:0;2015-08-28 00:00:00+00:00;mean(air_temperature P1D);13,2;degC;PT0H
240;SN12680:0;2015-08-29 00:00:00+00:00;mean(air_temperature P1D);12,9;degC;PT0H
241;SN12680:0;2015-08-30 00:00:00+00:00;mean(air_temperature P1D);12,9;degC;PT0H
242;SN12680:0;2015-08-31 00:00:00+00:00;mean(air_temperature P1D);12,2;degC;PT0H
243;SN12680:0;2015-09-01 00:00:00+00:00;mean(air_temperature P1D);13,2;degC;PT0H
244;SN12680:0;2015-09-02 00:00:00+00:00;mean(air_temperature P1D);10,3;degC;PT0H
245;SN12680:0;2015-09-03 00:00:00+00:00;mean(air_temperature P1D);10,7;degC;PT0H
246;SN12680:0;2015-09-04 00:00:00+00:00;mean(air_temperature P1D);11,5;degC;PT0H
247;SN12680:0;2015-09-05 00:00:00+00:00;mean(air_temperature P1D);10,8;degC;PT0H
248;SN12680:0;2015-09-06 00:00:00+00:00;mean(air_temperature P1D);10,0;degC;PT0H
249;SN12680:0;2015-09-07 00:00:00+00:00;mean(air_temperature P1D);10,2;degC;PT0H
250;SN12680:0;2015-09-08 00:00:00+00:00;mean(air_temperature P1D);13,5;degC;PT0H
251;SN12680:0;2015-09-09 00:00:00+00:00;mean(air_temperature P1D);11,9;degC;PT0H
252;SN12680:0;2015-09-10 00:00:00+00:00;mean(air_temperature P1D);12,1;degC;PT0H
253;SN12680:0;2015-09-11 00:00:00+00:00;mean(air_temperature P1D);11,1;degC;PT0H
254;SN12680:0;2015-09-12 00:00:00+00:00;mean(air_temperature P1D);11,1;degC;PT0H
255;SN12680:0;2015-09-13 00:00:00+00:00;mean(air_temperature P1D);12,5;degC;PT0H
256;SN12680:0;2015-09-14 00:00:00+00:00;mean(air_temperature P1D);12,9;degC;PT0H
257;SN12680:0;2015-09-15 00:00:00+00:00;mean(air_temperature P1D);11,9;degC;PT0H
258;SN12680:0;2015-09-16 00:00:00+00:00;mean(air_temperature P1D);9,8;degC;PT0H
259;SN12680:0;2015-09-17 00:00:00+00:00;mean(air_temperature P1D);11,6;degC;PT0H
260;SN12680:0;2015-09-18 00:00:00+00:00;mean(air_temperature P1D);12,8;degC;PT0H
261;SN12680:0;2015-09-19 00:00:00+00:00;mean(air_temperature P1D);9,7;degC;PT0H
262;SN12680:0;2015-09-20 00:00:00+00:00;mean(air_temperature P1D);8,7;degC;PT0H
263;SN12680:0;2015-09-21 00:00:00+00:00;mean(air_temperature P1D);9,2;degC;PT0H
264;SN12680:0;2015-09-22 00:00:00+00:00;mean(air_temperature P1D);9,4;degC;PT0H
265;SN12680:0;2015-09-23 00:00:00+00:00;mean(air_temperature P1D);11,6;degC;PT0H
266;SN12680:0;2015-09-24 00:00:00+00:00;mean(air_temperature P1D);11,5;degC;PT0H
267;SN12680:0;2015-09-25 00:00:00+00:00;mean(air_temperature P1D);9,6;degC;PT0H
268;SN12680:0;2015-09-26 00:00:00+00:00;mean(air_temperature P1D);7,2;degC;PT0H
269;SN12680:0;2015-09-27 00:00:00+00:00;mean(air_temperature P1D);8,8;degC;PT0H
270;SN12680:0;2015-09-28 00:00:00+00:00;mean(air_temperature P1D);7,4;degC;PT0H
271;SN12680:0;2015-09-29 00:00:00+00:00;mean(air_temperature P1D);7,0;degC;PT0H
272;SN12680:0;2015-09-30 00:00:00+00:00;mean(air_temperature P1D);8,1;degC;PT0H
273;SN12680:0;2015-10-01 00:00:00+00:00;mean(air_temperature P1D);10,8;degC;PT0H
274;SN12680:0;2015-10-02 00:00:00+00:00;mean(air_temperature P1D);12,8;degC;PT0H
275;SN12680:0;2015-10-03 00:00:00+00:00;mean(air_temperature P1D);6,5;degC;PT0H
