ID;type;Pd;Qd;Gs;Bs;bus_area;Vm;Va;base_kV;zone;Vmax;Vmin
110;1;0.0;0.0;0;0;0;0.9690868160046577;-0.6248107956605564;22;0;1.06;0.94
111;1;0.276548514;0.0908932;0;0;0;0.9690857941228314;-0.6248257196882443;22;0;1.06;0.94
112;1;0.0;0.0;0;0;0;0.9693106324119758;-0.6239682314886442;22;0;1.06;0.94
113;1;0.00078442;0.000257815;0;0;0;0.9693106323598271;-0.6239682330461274;22;0;1.06;0.94
114;1;0.077797225;0.025569614;0;0;0;0.9691910711851999;-0.6248339115528141;22;0;1.06;0.94
115;1;0.0;0.0;0;0;0;0.9693282550550963;-0.6235275335580317;22;0;1.06;0.94
116;1;0.0;0.0;0;0;0;0.966958767771718;-0.6645145935850313;22;0;1.06;0.94
117;1;0.121147488;0.039817545;0;0;0;0.960249836881209;-0.7894860657309171;22;0;1.06;0.94
118;1;0.035388698;0.011631203;0;0;0;0.9693282527073229;-0.6235276036756091;22;0;1.06;0.94
119;1;0.0;0.0;0;0;0;0.9668891409418539;-0.6652435668648834;22;0;1.06;0.94
120;1;0.263253107;0.086523399;0;0;0;0.9667722834221321;-0.664614083531831;22;0;1.06;0.94
121;1;0.068540778;0.022527298;0;0;0;0.9668665527318508;-0.6656890867928211;22;0;1.06;0.94
122;1;0.0;0.0;0;0;0;0.966889198296115;-0.6652591280136987;22;0;1.06;0.94
123;1;0.0;0.0;0;0;0;0.9668891987823616;-0.6652591740381066;22;0;1.06;0.94
124;1;0.153542804;0.050464913;0;0;0;0.9669587602819736;-0.6645148178185891;22;0;1.06;0.94
